"model","scenario","variable","SDP","relative_change_iam_variable_pc","total_atkinson_utility_change","global_gini","global_avg_deprivation","global_avg_surplus","AggUtilitarian","Prioritarian","Egalitarian","Sufficientarian","Limitarian"
"GCAM 4.0","Low CO2 price","Final_Energy_Transportation","RC",1.25198155152057,2.8087665476216,0.430870223092899,0,10.8331967754014,"yes","yes","no","yes","no"
"GCAM 4.0","Policy baseline","Final_Energy_Transportation","RC",1.2450089849119,2.74752016192646,0.432101015566311,0,10.7712911826273,"yes","yes","no","yes","no"
"GCAM 5.2","NGFS1_Current policies (Hot house world, Rep)","Final_Energy_Transportation","RC",1.1778308948768,2.59423231635346,0.420621155430684,0,9.42563180544011,"yes","yes","no","yes","no"
"GCAM 5.2","NGFS1_Immediate 2C with CDR (Orderly, Rep)","Final_Energy_Transportation","RC",1.03386887045105,1.34666502166754,0.376913512009926,0,7.60647233541459,"no","yes","no","yes","no"
"GCAM 5.3","NGFS2_Below 2?C","Final_Energy_Transportation","RC",0.672845608200533,-2.43472209654897,0.450805651808855,-0.0406488227788278,3.59060181895948,"no","no","no","no","no"
"GCAM 5.3","NGFS2_Current Policies","Final_Energy_Transportation","RC",0.817658043488283,-0.6134001193575,0.435949480923481,0,4.91982722651097,"no","no","no","yes","no"
"GCAM 5.3","NGFS2_Delayed Transition","Final_Energy_Transportation","RC",0.566034652793786,-4.16530629484053,0.41924830738981,-0.614116246164246,0.890955458985085,"no","no","no","no","no"
"GCAM 5.3","NGFS2_Divergent Net Zero Policies","Final_Energy_Transportation","RC",0.352432888204086,-8.42763222827022,0.472285636437562,-1.74251700320227,0,"no","no","no","no","yes"
"GCAM 5.3","NGFS2_Nationally Determined Contributions (NDCs)","Final_Energy_Transportation","RC",0.738220069748428,-1.55844284628805,0.376215849290578,0,4.41051601624705,"no","no","no","yes","no"
"GCAM 5.3","NGFS2_Net-Zero 2050","Final_Energy_Transportation","RC",0.565555889577798,-3.93523948174033,0.453241087931424,-0.394223190347566,1.58991674631452,"no","no","no","no","no"
"GCAM 5.3","R_BAU","Final_Energy_Transportation","RC",1.2045078476505,2.78370028893718,0.412122794323314,0,10.2744043616197,"yes","yes","no","yes","no"
"GCAM 5.3","R_MAC_30_n0","Final_Energy_Transportation","RC",0.967528388490294,0.714112178732545,0.378277603685891,0,6.03513876565265,"no","yes","no","yes","no"
"GCAM 5.3","R_MAC_30_n8","Final_Energy_Transportation","RC",0.822329867884654,-0.786910487731816,0.386615121871589,0,8.78598146579313,"no","no","no","yes","no"
"GCAM 5.3","R_MAC_35_n0","Final_Energy_Transportation","RC",0.967964899435023,0.718501700850712,0.378209463321353,0,6.04248138771318,"no","yes","no","yes","no"
"GCAM 5.3","R_MAC_35_n8","Final_Energy_Transportation","RC",0.821007454746136,-0.805992282401501,0.387531327419301,0,8.79176859994177,"no","no","no","yes","no"
"GCAM 5.3","R_MAC_40_n0","Final_Energy_Transportation","RC",0.967540042014684,0.712186206600617,0.378691965931149,0,6.03905015867638,"no","yes","no","yes","no"
"GCAM 5.3","R_MAC_40_n8","Final_Energy_Transportation","RC",0.822344312313665,-0.803300180259466,0.389903524148531,0,9.01759025570974,"no","no","no","yes","no"
"GCAM 5.3","R_MAC_45_n0","Final_Energy_Transportation","RC",0.9704508342275,0.736259536984285,0.379553185859905,0,6.13653196972124,"no","yes","no","yes","no"
"GCAM 5.3","R_MAC_45_n8","Final_Energy_Transportation","RC",0.830496104817517,-0.729909601169901,0.392954109232989,0,9.58989948373966,"no","no","no","yes","no"
"GCAM 5.3","R_MAC_50_n0","Final_Energy_Transportation","RC",0.968156023973093,0.704333619487201,0.382956861747936,0,6.15910931377543,"no","yes","no","yes","no"
"GCAM 5.3","R_MAC_50_n8","Final_Energy_Transportation","RC",0.83870758227624,-0.664952538705712,0.397471500517185,0,10.3145524857012,"no","no","no","yes","no"
