model,scenario,primary_energy_change,renewables_vs_fossil,Renewables,CDR,Demand,Other,IMP_count
AIM/CGE 2.1,CO_BAU,175.5476,-506.83590000000004,False,True,False,False,1
AIM/CGE 2.1,CO_Bridge,-37.112699999999904,-135.6539,False,False,True,False,1
AIM/CGE 2.1,CO_CurPol,165.10050000000012,-471.42839999999995,False,True,False,False,1
AIM/CGE 2.1,CO_GPP,-34.73029999999994,-185.9554,False,False,True,False,1
AIM/CGE 2.1,CO_NDCplus,132.45190000000014,-380.5105,False,True,False,False,1
AIM/CGE 2.1,EMF33_Baseline,270.278,-645.5611,False,True,False,False,1
AIM/CGE 2.1,EMF33_Med2C_cost100,74.15350000000001,-230.4896,False,True,False,False,1
AIM/CGE 2.1,EMF33_Med2C_full,92.17089999999996,-208.33750000000003,False,True,False,False,1
AIM/CGE 2.1,EMF33_Med2C_nobeccs,76.24000000000001,-193.1324,False,True,False,False,1
AIM/CGE 2.1,EMF33_Med2C_nofuel,54.92010000000005,-259.1454,False,True,False,False,1
AIM/CGE 2.1,EMF33_Med2C_none,36.33839999999998,-277.6631,False,True,False,False,1
AIM/CGE 2.1,EMF33_WB2C_cost100,25.24389999999994,-61.168199999999956,False,True,False,False,1
AIM/CGE 2.1,EMF33_WB2C_full,49.66059999999993,-70.13049999999998,False,True,False,False,1
AIM/CGE 2.1,EMF33_tax_hi_full,95.76580000000001,-368.84639999999996,False,True,False,False,1
AIM/CGE 2.1,EMF33_tax_hi_none,70.69370000000004,-450.8443,False,True,False,False,1
AIM/CGE 2.1,EMF33_tax_lo_full,128.30510000000004,-450.67150000000004,False,True,False,False,1
AIM/CGE 2.1,EMF33_tax_lo_none,109.64559999999994,-515.4825,False,True,False,False,1
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,39.22280000000001,-67.3748,False,True,False,False,1
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,54.17420000000004,-46.91590000000002,False,True,False,False,1
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,51.69659999999999,-223.87290000000002,False,True,False,False,1
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,88.54759999999999,-226.3957,False,True,False,False,1
AIM/CGE 2.1,TERL_Baseline_LowCarbonTransportPolicy,197.52729999999997,-589.0407,False,True,False,False,1
AIM/CGE 2.1,TERL_Baseline_NoTransportPolicy,227.72249999999997,-612.5017,False,True,False,False,1
AIM/CGE 2.2,EN_INDCi2030_1000f,21.21580000000006,-221.23450000000003,False,True,False,False,1
AIM/CGE 2.2,EN_INDCi2030_1200,27.46029999999996,-237.79260000000002,False,True,False,False,1
AIM/CGE 2.2,EN_INDCi2030_1200f,51.39620000000002,-297.1233,False,True,False,False,1
AIM/CGE 2.2,EN_INDCi2030_1400,62.27200000000005,-324.71759999999995,False,True,False,False,1
AIM/CGE 2.2,EN_INDCi2030_1400f,67.68039999999996,-339.456,False,True,False,False,1
AIM/CGE 2.2,EN_INDCi2030_1600,70.97350000000006,-347.7453,False,True,False,False,1
